	voiS	voiA		rest	walk	stbl	dual	pinc
ques	voiS		post	rest		stbl	dual	
ques	voiS		post			stbl		pinc
ques			post	rest	walk	stbl		
ques		voiA	post	rest	walk	stbl	dual	
ques	voiS		post	rest	walk		dual	pinc
ques			post	rest	walk		dual	
ques		voiA	post	rest		stbl	dual	
ques			post			stbl	dual	pinc
ques	voiS		post	rest			dual	pinc
ques	voiS			rest	walk	stbl		pinc
ques	voiS	voiA	post			stbl	dual	pinc
ques	voiS	voiA		rest	walk	stbl		pinc
ques	voiS					stbl	dual	pinc
ques			post	rest	walk		dual	pinc
ques	voiS		post	rest	walk	stbl		
ques	voiS				walk			
ques	voiS	voiA	post					
ques		voiA		rest				
ques	voiS			rest	walk	stbl	dual	
ques			post			stbl		
ques	voiS	voiA				stbl		
ques	voiS		post					
ques	voiS	voiA		rest	walk		dual	
ques						stbl	dual	
ques		voiA	post	rest	walk		dual	
ques			post	rest		stbl	dual	pinc
ques	voiS	voiA	post	rest	walk	st		
ques				rest	walk	stbl	dual	pinc
ques				rest	walk	stbl		pinc
ques		voiA	post		walk			pinc
ques	voiS			rest	walk	stbl		
ques		voiA	post	rest				pinc
	voiS	voiA		rest	walk	stbl		pinc
	voiS	voiA	post	rest	walk		dual	
	voiS		post	rest	walk		dual	
	voiS		post		walk	stbl		pinc
ques	voiS	voiA	post				dual	pinc
ques	voiS	voiA	post					pinc
ques						stbl	dual	pinc
ques					walk			pinc
ques					walk	stbl	dual	pinc
ques	voiS				walk			pinc
	voiS		post	rest	walk	stbl	dual	
		voiA		rest	walk	stbl		pinc
	voiS	voiA	post	rest		stbl	dual	pinc
ques			post	rest		stbl		pinc
ques	voiS							pinc
ques				rest	walk		dual	pinc
		voiA	post			stbl	dual	pinc
	voiS	voiA	post				dual	pinc
ques					walk		dual	
ques		voiA	post	rest			dual	
	voiS	voiA			walk	stbl	dual	pinc
	voiS	voiA		rest	walk		dual	
ques		voiA	post				dual	pinc
	voiS	voiA		rest		stbl	dual	pinc
	voiS	voiA	post		walk		dual	pinc
			post		walk	stbl	dual	pinc
ques	voiS	voiA						
ques		voiA			walk		dual	
ques		voiA		rest	walk			
	voiS		post		walk	stbl	dual	pinc
	voiS	voiA	post		walk	stbl	dual	pinc
	voiS		post	rest	walk			
				rest		stbl		pinc
ques	voiS		post	rest				
ques	voiS	voiA						pinc
ques			post	rest	walk			
	voiS	voiA	post	rest	walk	stbl		pinc
ques	voiS						dual	pinc
		voiA	post	rest		stbl		pinc
		voiA	post		walk		dual	
	voiS			rest	walk	stbl	dual	pinc
	voiS	voiA		rest	walk	stbl	dual	
ques			post	rest				
	voiS	voiA	post			stbl	dual	
		voiA	post	rest	walk			
	voiS				walk	stbl	dual	pinc
		voiA	post		walk		dual	pinc
ques				rest	walk			pinc
			post			stbl	dual	pinc
ques			post		walk			
ques			post		walk			pinc
	voiS	voiA	post	rest	walk	stbl	dual	
	voiS		post			stbl		pinc
	voiS	voiA	post					pinc
	voiS	voiA	post	rest				
ques		voiA		rest			dual	
			post	rest	walk		dual	
	voiS	voiA		rest		stbl	dual	
		voiA		rest		stbl		pinc
	voiS		post	rest	walk			pinc
ques		voiA			walk	stbl		
ques		voiA	post	rest				
	voiS				walk			pinc
	voiS	voiA		rest		stbl		
		voiA	post			stbl	dual	
ques								
	voiS				walk	stbl		
			post	rest	walk			
		voiA				stbl	dual	
	voiS			rest	walk		dual	
ques		voiA					dual	pinc
ques				rest			dual	
	voiS	voiA	post		walk			pinc
		voiA				stbl		pinc
		voiA		rest		stbl		
	voiS				walk	stbl		pinc
	voiS					stbl		pinc
	voiS			rest		stbl		
ques				rest	walk		dual	
	voiS		post		walk			pinc
		voiA		rest				pinc
			post	rest		stbl		
	voiS		post	rest		stbl		
				rest	walk		dual	pinc
ques							dual	pinc
		voiA			walk	stbl		pinc
				rest	walk	stbl		pinc
		voiA		rest	walk	stbl		
	voiS	voiA					dual	
			post		walk			pinc
			post			stbl	dual	
					walk	stbl		pinc
		voiA	post		walk			
	voiS			rest	walk			pinc
	voiS		post		walk			
	voiS			rest			dual	pinc
ques			post	rest		stbl		
			post	rest	walk			pinc
	voiS	voiA	post				dual	
			post	rest	walk	stbl		
ques	voiS				walk	stbl		
						stbl	dual	pinc
	voiS		post		walk	stbl		
		voiA			walk		dual	
	voiS		post	rest				pinc
		voiA	post	rest				pinc
		voiA		rest			dual	
	voiS	voiA				stbl		
		voiA		rest			dual	pinc
		voiA	post			stbl		
		voiA	post				dual	
				rest		stbl	dual	
		voiA	post				dual	pinc
			post				dual	pinc
	voiS				walk			
	voiS		post					
ques		voiA						
		voiA					dual	pinc
	voiS			rest			dual	
			post	rest			dual	pinc
						stbl		
					walk		dual	
					walk			
	voiS							pinc
			post		walk			
						stbl	dual	
		voiA			walk			
				rest			dual	pinc
			post				dual	
		voiA					dual	
	voiS						dual	
ques							dual	
ques			post					
	voiS							
ques						stbl		
ques					walk			
		voiA	post					
				rest		stbl		
								pinc
	voiS			rest				
					walk	stbl		
					walk			pinc
			post					
				rest	walk			
							dual	pinc
		voiA						
				rest				pinc
				rest			dual	
ques				rest				
		voiA		rest				
							dual	
				rest				
